"Minimum Qty for Item's","Öge için Minimum Adet"
"There are no products matching your request","İsteğiniz ile eşleşen herhangi bir ürün bulunmadı"
"Thumbnail Image","Küçük resim"
"Title","Başlık"
"Type","Tipi"
"Upload image","Resim yükle"
"Value Set","Değer ayarı"
"Value Sets","Değer Ayarları"
"Value sets","Değer ayarları"
"Value was deleted sucessfully","Değer silindi"
"Value Set not found","Değer ayarı bulunamadı"
"Value Set was deleted sucessfully","Değer ayarı silindi"
"View mode","Görüntüleme modu"
"Weight","Ağırlık"
"Only %d item(s) are available","Sadece %d öge(ler) geçerli"
"Store hottest products","Yeni ürünler"
"Popular products","Popüler ürünler"
"No products found","Ürün bulunamadı"
"Bestsellers","En Çok satılanlar"
"Filters","Filtreler"
"New products","Yeni ürünler"
"Product Catalog","Ürün Kataloğu"
"Product Brands","Ürün markaları"
"Add Product","Ürün ekle"
"Add Category","Kategori ekle"
"Images","Resimler"
"Cache","Bellek"
"Cache path","Bellek yolu"
"Catalog route","Katalok rota"
"Default product count per page","Her sayfada gösterilecek ürün adedi"
"Enabled","Etkin"
"Hurl world delimiter","Kelime ayracı"
"Image path","Resim yolu"
"Large height","Yükseklik"
"Large width","Genişlik"
"Lens cursor","Lens imleci"
"Lens opacity","Lens şeffaflığı"
"Lightbox fade speed","Lightbox efekt hızı"
"Lightbox resize speed","Lightbox boyutlandırma hızı"
"Lightbox trigger","Lightbox tetikleyici"
"Mask opacity","Mask şeffaflığı"
"Opacity","Şeffaflık"
"Product Info height","Ürün Bilgisi yüksekliği"
"Product Info width","Ürün Bilgisi genişliği"
"Repeat","Tekrar"
"SEO Description Length (45 -150 chars)","SEO Açıklama uzunluğu (45 -150 karakter)"
"Small height","Yükseklik"
"Small width","Genişlik"
"Switch image trigger","Resim değiştirme tetiği"
"Thumbnail image height","Küçük resim yüksekliği"
"Thumbnail image width","Küçük resim genişliği"
"Watermark Position","Resim filigran pozisyonu "
"Zoom off trigger","Zoom kapama"
"Zoom on trigger","Zoom açma"
"Zoomer height","Zoomer yüksekliği"
"Zoomer offset-x","Zoomer offset-x"
"Zoomer offset-y","Zoomer offset-y"
"Zoomer position","Zoomer pozisyonu"
"Zoomer width","Zoomer genişliği"
"Lightzoom","Lightzoom"
"General","Genel"
"Product Listing","Ürün Listesi"
"Product View","Ürün görüntüle"
"Product Images","Ürün resimleri"
"Watermark","Filigran"
"Catalog url (example.com/<b>route</b>/product)","Katalog url (ornek.com/<b>rota</b>/ürün)"
"Animation speed, ms","Animasyon hızı, ms"
"Select none, if you wish to disable this event","Bu olay devre dışı bırakmak istiyorsanız, yok seçin"
"Default listing type","Varsayılan listeleme tipi"
"Image cache path, relative to AXIS_ROOT","SITE_ROOT için göreceli resim önbellek yolu"
"Enable image cache","Resim bellek etkin"
"Path relative to the skin images folder: catalog/watermark.png","Filigran klasörü göreceli yolu: catalog/watermark.png"
"Values [0 - 100]","Değerler [0 - 100]"
"Product","Ürün"
"Item(s) %d to %d of %d","Öge(s) %d to %d of %d"
"Update Price Indexes","Fiyat endexlerini güncelle"
"Product Id","Ürün no"
"Products Count","Ürün sayısı"
"Columns Count","Sütun sayısı"
"Recently Viewed","Son İnceledikleriniz"
"Compare Selected","Karşılatırma için seçilenler"
"Select to compare","Karşılaştırmak için seçin"
"Category","Kategori"
"Please select at least two products you'd like to compare.","Lütfen karşılaştırmak içinen az iki ürün seçin."
