"Values [0 - 100]", "Valores [0 - 100]"
"SEO Description Length (45 -150 chars)", "Descrição SEO Comprimento (45 -150 caracteres)"
"Small height", "Altura reduzida"
"Small width", "Largura reduzida"
"Switch image trigger", "Gatilho de imagem"
"Thumbnail image height", "Altura de imagem miniatura"
"Thumbnail image width", "Largura de imagem miniatura"
"Watermark Position", "Posição Marca d'água"
"Zoom off trigger", "Zoom off trigger"
"Zoom on trigger", "Zoom on trigger"
"Zoomer height", "Altura Zoomer"
"Zoomer offset-x", "Zoomer offset-x"
"Zoomer offset-y", "Zoomer offset-y"
"Zoomer position", "Posição Zoomer"
"Zoomer width", "Largura Zoomer"
"Lightzoom", "Lightzoom"
"General", "Geral"
"Product Listing", "Listagem de Produto"
"Product View", "Visualizar Produto"
"Product Images", "Imagens do Produto"
"Watermark", "Marca d'água"
"Catalog url (example.com/<b>route</b>/product)", "Catálogo url (exemplo.com/<b>caminho</b>/produto)"
"Animation speed, ms", "Velocidade de Animação, em"
"Select none, if you wish to disable this event", "Não seleccionar nenhuma, se você quiser desativar este evento"
"Default listing type", "Tipo de listagem padrão"
"Enable image cache", "Ativar cache de imagem"
"Path relative to the skin images folder: catalog/watermark.png", "Caminho relativo para a pasta skin: catalog/watermark.png"
"Item(s) %d to %d of %d","Item(s) %d para %d de %d"
"Update Price Indexes","Update Price Indexes"
